match_id,date_planned_start,match_start,player_1,player_2,player_1_fh_goals,player_2_fh_goals,player_1_sh_goals,player_2_sh_goals,player_1_total_goals,player_2_total_goals,shift_n,match_count_within_shift,match_count_within_shift_player_pair
118925,1667287320,1667287308,5,20,1,1,0,2,1,3,134.0,3,1
118928,1667289840,1667289843,5,20,0,0,1,0,1,0,134.0,6,2
118931,1667292360,1667292351,5,20,1,1,0,2,1,3,134.0,9,3
118934,1667294880,1667294890,5,20,2,0,0,1,2,1,134.0,12,4
118937,1667297400,1667297389,5,20,1,1,1,0,2,1,134.0,15,5
118940,1667299920,1667299916,5,20,1,2,1,1,2,3,134.0,18,6
118943,1667304120,1667304134,5,20,0,0,2,1,2,1,134.0,21,7
118946,1667306640,1667306627,5,20,0,1,1,1,1,2,134.0,24,8
118949,1667309160,1667309162,5,20,3,0,0,1,3,1,134.0,27,9
118952,1667311680,1667311684,5,20,1,1,0,2,1,3,134.0,30,10
119097,1667372880,1667372875,5,20,0,1,1,2,1,3,134.0,34,11
119100,1667375400,1667375398,5,20,0,1,0,3,0,4,134.0,37,12
119103,1667377920,1667377938,5,20,2,1,0,2,2,3,134.0,40,13
119106,1667380440,1667380430,5,20,0,0,0,1,0,1,134.0,43,14
119109,1667382960,1667382940,5,20,1,1,0,0,1,1,134.0,46,15
119112,1667385480,1667385491,5,20,1,1,3,0,4,1,134.0,49,16
119115,1667389680,1667389681,5,20,3,2,1,1,4,3,134.0,52,17
119118,1667392200,1667392199,5,20,2,0,1,2,3,2,134.0,55,18
119121,1667394720,1667394725,5,20,1,2,1,4,2,6,134.0,58,19
119124,1667397240,1667397233,5,20,2,3,0,0,2,3,134.0,61,20
119127,1667399760,1667399580,5,20,0,0,1,2,1,2,134.0,64,21
119595,1667458440,1667458467,5,20,3,1,1,3,4,4,134.0,65,22
119598,1667460960,1667460954,5,20,1,1,2,2,3,3,134.0,68,23
119601,1667463480,1667463468,5,20,1,1,2,1,3,2,134.0,71,24
119604,1667466000,1667466009,5,20,3,0,1,1,4,1,134.0,74,25
119607,1667468520,1667468518,5,20,2,0,1,0,3,0,134.0,77,26
119610,1667471040,1667471032,5,20,2,0,2,3,4,3,134.0,80,27
119613,1667475240,1667475240,5,20,2,0,0,0,2,0,134.0,83,28
119616,1667477760,1667477766,5,20,0,1,0,2,0,3,134.0,86,29
119619,1667480280,1667480306,5,20,2,1,2,0,4,1,134.0,89,30
119622,1667482800,1667482808,5,20,1,2,1,1,2,3,134.0,92,31
119625,1667485320,1667485326,5,20,0,0,1,0,1,0,134.0,95,32
119695,1667546520,1667546530,5,20,2,0,2,1,4,1,134.0,99,33
119698,1667549040,1667549042,5,20,2,1,0,0,2,1,134.0,102,34
119701,1667551560,1667551608,5,20,1,1,0,0,1,1,134.0,105,35
119704,1667554080,1667554098,5,20,0,3,1,1,1,4,134.0,108,36
119707,1667556600,1667556597,5,20,0,0,0,1,0,1,134.0,111,37
119710,1667559120,1667559128,5,20,1,1,1,0,2,1,134.0,114,38
119713,1667563320,1667563323,5,20,3,1,1,1,4,2,134.0,117,39
119716,1667565840,1667565843,5,20,1,0,0,1,1,1,134.0,120,40
118923,1667285640,1667285645,5,26,0,0,1,1,1,1,134.0,1,1
118926,1667288160,1667288150,5,26,1,2,1,1,2,3,134.0,4,2
118929,1667290680,1667290670,5,26,1,1,1,1,2,2,134.0,7,3
118932,1667293200,1667293205,5,26,0,0,0,3,0,3,134.0,10,4
118935,1667295720,1667295731,5,26,1,1,1,0,2,1,134.0,13,5
118938,1667298240,1667298250,5,26,1,3,0,2,1,5,134.0,16,6
118941,1667302440,1667302442,5,26,1,1,2,3,3,4,134.0,19,7
118944,1667304960,1667304951,5,26,1,2,1,1,2,3,134.0,22,8
118947,1667307480,1667307497,5,26,2,0,3,0,5,0,134.0,25,9
118950,1667310000,1667310018,5,26,1,1,1,1,2,2,134.0,28,10
118953,1667312520,1667312507,5,26,1,2,0,0,1,2,134.0,31,11
119098,1667373720,1667373721,5,26,0,3,0,0,0,3,134.0,35,12
119101,1667376240,1667376238,5,26,1,1,1,1,2,2,134.0,38,13
119104,1667378760,1667378789,5,26,1,1,1,3,2,4,134.0,41,14
119107,1667381280,1667381304,5,26,0,1,0,0,0,1,134.0,44,15
119110,1667383800,1667383817,5,26,1,0,2,1,3,1,134.0,47,16
119113,1667386320,1667386323,5,26,0,1,2,1,2,2,134.0,50,17
119116,1667390520,1667390519,5,26,0,2,1,0,1,2,134.0,53,18
119119,1667393040,1667393092,5,26,0,1,0,0,0,1,134.0,56,19
119122,1667395560,1667395567,5,26,2,0,2,5,4,5,134.0,59,20
119125,1667398080,1667398080,5,26,2,1,0,3,2,4,134.0,62,21
119596,1667459280,1667459272,5,26,0,2,1,1,1,3,134.0,66,22
119599,1667461800,1667461814,5,26,1,1,2,2,3,3,134.0,69,23
119602,1667464320,1667464320,5,26,2,0,1,2,3,2,134.0,72,24
119605,1667466840,1667466839,5,26,2,1,1,2,3,3,134.0,75,25
119608,1667469360,1667469358,5,26,2,2,0,0,2,2,134.0,78,26
119611,1667471880,1667471871,5,26,4,0,3,1,7,1,134.0,81,27
119614,1667476080,1667476085,5,26,3,0,1,2,4,2,134.0,84,28
119617,1667478600,1667478602,5,26,0,3,2,2,2,5,134.0,87,29
119620,1667481120,1667481119,5,26,0,3,2,2,2,5,134.0,90,30
119623,1667483640,1667483638,5,26,2,1,1,0,3,1,134.0,93,31
119626,1667486160,1667486159,5,26,2,1,1,2,3,3,134.0,96,32
119693,1667544840,1667544844,5,26,1,1,2,1,3,2,134.0,97,33
119696,1667547360,1667547369,5,26,2,2,1,1,3,3,134.0,100,34
119699,1667549880,1667549882,5,26,1,2,2,1,3,3,134.0,103,35
119702,1667552400,1667552411,5,26,1,1,1,0,2,1,134.0,106,36
119705,1667554920,1667554922,5,26,1,1,0,2,1,3,134.0,109,37
119708,1667557440,1667557440,5,26,0,0,1,2,1,2,134.0,112,38
119711,1667561640,1667561691,5,26,0,0,1,3,1,3,134.0,115,39
119714,1667564160,1667564169,5,26,1,2,0,0,1,2,134.0,118,40
119717,1667566680,1667566698,5,26,2,2,1,0,3,2,134.0,121,41
118924,1667286480,1667286484,20,26,0,1,1,3,1,4,134.0,2,1
118927,1667289000,1667289036,20,26,1,2,0,0,1,2,134.0,5,2
118930,1667291520,1667291524,20,26,1,2,0,3,1,5,134.0,8,3
118933,1667294040,1667294049,20,26,2,3,0,2,2,5,134.0,11,4
118936,1667296560,1667296566,20,26,2,2,0,4,2,6,134.0,14,5
118939,1667299080,1667299076,20,26,2,1,1,3,3,4,134.0,17,6
118942,1667303280,1667303253,20,26,1,2,0,0,1,2,134.0,20,7
118945,1667305800,1667305807,20,26,0,4,0,1,0,5,134.0,23,8
118948,1667308320,1667308338,20,26,1,1,2,1,3,2,134.0,26,9
118951,1667310840,1667310833,20,26,2,2,1,1,3,3,134.0,29,10
118954,1667313360,1667313361,20,26,0,1,1,4,1,5,134.0,32,11
119096,1667372040,1667372060,20,26,3,0,3,1,6,1,134.0,33,12
119099,1667374560,1667374561,20,26,0,0,0,0,0,0,134.0,36,13
119102,1667377080,1667377068,20,26,3,1,0,1,3,2,134.0,39,14
119105,1667379600,1667379675,20,26,1,1,0,0,1,1,134.0,42,15
119108,1667382120,1667382136,20,26,1,0,2,1,3,1,134.0,45,16
119111,1667384640,1667384641,20,26,0,2,0,2,0,4,134.0,48,17
119114,1667388840,1667388852,20,26,1,2,1,2,2,4,134.0,51,18
119117,1667391360,1667391354,20,26,0,4,1,1,1,5,134.0,54,19
119120,1667393880,1667393875,20,26,1,2,0,4,1,6,134.0,57,20
119123,1667396400,1667396403,20,26,0,2,0,2,0,4,134.0,60,21
119126,1667398920,1667398933,20,26,1,1,2,4,3,5,134.0,63,22
119597,1667460120,1667460129,20,26,0,1,3,1,3,2,134.0,67,23
119600,1667462640,1667462645,20,26,2,3,1,2,3,5,134.0,70,24
119603,1667465160,1667465161,20,26,0,1,0,3,0,4,134.0,73,25
119606,1667467680,1667467695,20,26,1,2,0,2,1,4,134.0,76,26
119609,1667470200,1667470202,20,26,1,0,0,0,1,0,134.0,79,27
119612,1667472720,1667472714,20,26,1,1,1,3,2,4,134.0,82,28
119615,1667476920,1667476918,20,26,2,2,1,1,3,3,134.0,85,29
119618,1667479440,1667479437,20,26,1,3,1,2,2,5,134.0,88,30
119621,1667481960,1667481974,20,26,1,1,2,4,3,5,134.0,91,31
119624,1667484480,1667484477,20,26,0,2,1,0,1,2,134.0,94,32
119694,1667545680,1667545689,20,26,0,0,1,0,1,0,134.0,98,33
119697,1667548200,1667548204,20,26,1,1,0,0,1,1,134.0,101,34
119700,1667550720,1667550724,20,26,0,3,1,0,1,3,134.0,104,35
119703,1667553240,1667553310,20,26,1,3,2,0,3,3,134.0,107,36
119706,1667555760,1667555752,20,26,1,2,1,3,2,5,134.0,110,37
119709,1667558280,1667558295,20,26,0,1,1,0,1,1,134.0,113,38
119712,1667562480,1667562485,20,26,0,2,2,1,2,3,134.0,116,39
119715,1667565000,1667565001,20,26,0,1,2,3,2,4,134.0,119,40
119718,1667567520,1667567518,20,26,0,1,0,3,0,4,134.0,122,41
119724,1667572560,1667572561,20,26,1,0,0,0,1,0,134.0,123,42
118811,1667262120,1667262135,0,2,1,2,0,2,1,4,748.0,2,1
118814,1667266320,1667266330,0,2,2,2,0,0,2,2,748.0,5,2
118817,1667268840,1667268839,0,2,0,1,1,0,1,1,748.0,8,3
118820,1667271360,1667271367,0,2,1,0,0,1,1,1,748.0,11,4
118823,1667273880,1667273888,0,2,1,0,1,1,2,1,748.0,14,5
118826,1667276400,1667276406,0,2,0,3,1,2,1,5,748.0,17,6
118829,1667278920,1667278929,0,2,3,0,0,1,3,1,748.0,20,7
118832,1667281440,1667281449,0,2,0,2,0,1,0,3,748.0,23,8
118835,1667283960,1667283963,0,2,2,1,0,1,2,2,748.0,26,9
118810,1667261280,1667261294,0,7,1,1,1,1,2,2,748.0,1,1
118813,1667265480,1667265489,0,7,1,2,1,2,2,4,748.0,4,2
118816,1667268000,1667268000,0,7,0,1,2,1,2,2,748.0,7,3
118819,1667270520,1667270525,0,7,2,0,1,1,3,1,748.0,10,4
118822,1667273040,1667273062,0,7,0,2,2,0,2,2,748.0,13,5
118825,1667275560,1667275581,0,7,1,3,2,1,3,4,748.0,16,6
118828,1667278080,1667278091,0,7,3,2,0,1,3,3,748.0,19,7
118831,1667280600,1667280619,0,7,1,3,1,1,2,4,748.0,22,8
118834,1667283120,1667283128,0,7,2,3,0,1,2,4,748.0,25,9
118812,1667264640,1667264639,2,7,1,1,2,0,3,1,748.0,3,1
118815,1667267160,1667267158,2,7,1,0,1,1,2,1,748.0,6,2
118818,1667269680,1667269679,2,7,2,0,1,1,3,1,748.0,9,3
118821,1667272200,1667272216,2,7,0,1,4,0,4,1,748.0,12,4
118824,1667274720,1667274721,2,7,1,0,1,1,2,1,748.0,15,5
118827,1667277240,1667277241,2,7,1,0,0,0,1,0,748.0,18,6
118830,1667279760,1667279767,2,7,2,3,1,1,3,4,748.0,21,7
118833,1667282280,1667282284,2,7,1,0,2,0,3,0,748.0,24,8
118836,1667286000,1667286011,8,14,1,0,1,0,2,0,749.0,1,1
118839,1667288520,1667288523,8,14,0,3,1,1,1,4,749.0,4,2
118842,1667291040,1667291048,8,14,0,1,1,1,1,2,749.0,7,3
118845,1667293560,1667293562,8,14,0,0,1,0,1,0,749.0,10,4
118848,1667296080,1667296099,8,14,0,0,0,0,0,0,749.0,13,5
118851,1667298600,1667298602,8,14,0,0,2,0,2,0,749.0,16,6
118854,1667301120,1667301120,8,14,0,1,0,0,0,1,749.0,19,7
118857,1667303640,1667303650,8,14,2,1,0,1,2,2,749.0,22,8
118860,1667307840,1667307849,8,14,1,1,1,2,2,3,749.0,25,9
118863,1667310360,1667310364,8,14,1,0,2,1,3,1,749.0,28,10
118866,1667312880,1667312888,8,14,2,0,1,1,3,1,749.0,31,11
118869,1667315400,1667315399,8,14,0,1,0,2,0,3,749.0,34,12
118872,1667317920,1667317930,8,14,1,0,1,0,2,0,749.0,37,13
118875,1667320440,1667320442,8,14,2,1,0,2,2,3,749.0,40,14
