,match_id,date_planned_start,match_start,player_1,player_2,player_1_fh_goals,player_2_fh_goals,player_1_sh_goals,player_2_sh_goals,player_1_total_goals,player_2_total_goals,shift_n,match_count_within_shift,match_count_within_shift_player_pair,Total_goals,player_1_total_goals_est,player_2_total_goals_est,total_goals_est,result,result_est,outcomes_proba,over_4.5_goals_proba
7840,151750,1672531680,2023-01-01 00:07:58,2,29,0,1,0,1,0,2,870.0,23,8,2,1.6382586,2.0713286,3.709587,2,2,30.85 - 21.12 - 48.03,31.463231263166573
7841,151751,1672532520,2023-01-01 00:21:57,4,29,1,0,0,0,1,0,870.0,24,8,1,1.6649418,2.5071383,4.17208,1,2,25.02 - 18.79 - 56.19,40.474122859422614
7842,151752,1672535040,2023-01-01 01:04:01,2,4,1,2,2,0,3,2,870.0,25,9,5,1.9641271,1.5816,3.545727,1,1,46.89 - 21.74 - 31.37,28.321614943835428
7843,151753,1672535880,2023-01-01 01:17:57,2,29,1,3,1,0,2,3,870.0,26,9,5,1.6280116,2.0160964,3.6441078,2,2,31.52 - 21.41 - 47.07,30.20158332872945
7844,151754,1672536720,2023-01-01 01:31:59,4,29,1,1,0,0,1,1,870.0,27,9,2,1.617323,2.5669188,4.184242,0,2,23.36 - 18.39 - 58.25,40.71081086128441
7845,151755,1672537560,2023-01-01 01:46:01,2,4,0,2,2,1,2,3,870.0,28,10,5,1.9622854,1.5174828,3.4797683,2,1,48.17 - 21.83 - 30.0,27.074062645068675
7846,151756,1672538400,2023-01-01 01:59:58,2,29,0,3,2,0,2,3,870.0,29,10,5,1.6415222,2.0890315,3.7305536,2,2,30.63 - 21.02 - 48.34,31.868655007278928
7847,151757,1672539240,2023-01-01 02:13:57,4,29,1,2,3,1,4,3,870.0,30,10,7,1.5940864,2.395102,3.9891884,1,2,25.18 - 19.34 - 55.48,36.90508536535916
7848,151758,1672540080,2023-01-01 02:28:01,2,4,0,2,0,0,0,2,870.0,31,11,2,1.9556285,1.7063042,3.6619327,2,1,44.21 - 21.58 - 34.21,30.544298067765478
7849,151759,1672540920,2023-01-01 02:41:58,2,29,1,1,1,2,2,3,870.0,32,11,5,1.6504548,2.1309514,3.7814062,2,2,30.16 - 20.8 - 49.04,32.85443501598091
7850,151760,1672541760,2023-01-01 02:55:56,4,29,1,2,1,2,2,4,870.0,33,11,6,1.6048551,2.3267136,3.9315686,2,2,26.33 - 19.74 - 53.93,35.779647524800026
7851,151761,1672542600,2023-01-01 03:10:04,2,4,0,0,0,0,0,0,870.0,34,12,0,1.9405862,1.6975305,3.6381168,0,1,44.06 - 21.66 - 34.28,30.086523112288376
7852,151762,1672543440,2023-01-01 03:23:59,2,29,1,2,1,1,2,3,870.0,35,12,5,1.6409574,2.1436336,3.784591,2,2,29.77 - 20.74 - 49.49,32.916276449243725
7853,151763,1672544280,2023-01-01 03:38:02,4,29,1,1,1,2,2,3,870.0,36,12,5,1.6215943,2.2656844,3.8872786,2,2,27.54 - 20.09 - 52.38,34.91528790762471
7854,151764,1672545120,2023-01-01 03:52:01,2,4,2,1,0,4,2,5,870.0,37,13,7,1.8956481,1.567666,3.463314,2,1,45.67 - 22.12 - 32.2,26.764693958223408
7855,151765,1672545960,2023-01-01 04:06:01,2,29,1,0,1,0,2,0,870.0,38,13,2,1.6485782,2.167225,3.815803,1,2,29.56 - 20.61 - 49.83,33.522910314201546
7856,151766,1672546800,2023-01-01 04:20:01,4,29,0,1,4,1,4,2,870.0,39,13,6,1.6421536,2.310102,3.9522557,1,2,27.31 - 19.85 - 52.84,36.18362859600549
7857,151767,1672547640,2023-01-01 04:34:03,2,4,1,1,0,3,1,4,870.0,40,14,5,1.9136525,1.7377726,3.6514251,2,1,42.69 - 21.69 - 35.62,30.34219967097456
7858,151768,1672548480,2023-01-01 04:47:55,2,29,1,1,3,2,4,3,870.0,41,14,7,1.6496238,2.2662036,3.9158273,1,2,28.09 - 20.09 - 51.82,35.47234357940221
7859,151769,1672549320,2023-01-01 05:01:57,4,29,1,1,0,1,1,2,870.0,42,14,3,1.687142,2.4530911,4.140233,2,2,26.17 - 19.11 - 54.72,39.85379230509819
